,source,text,words
10,wiki,,0
11,wiki,"FIFA's six continental confederations organised their own qualifying competitions. All 211 FIFA member associations were eligible to enter qualification. The Qatari national team, as hosts, qualified automatically for the tournament. However, the Asian Football Confederation (AFC) obliged Qatar to participate in the Asian qualifying stage as the first two rounds also act as qualification for the 2023 AFC Asian Cup. Since Qatar reached the final stage as winners in their group, Lebanon, the fifth-best second place team, advanced instead. France, the reigning World Cup champions also went through qualifying stages as normal.Saint Lucia initially entered CONCACAF qualification but withdrew from it before their first match. North Korea withdrew from the AFC qualifying round due to safety concerns related to the COVID-19 pandemic. Both American Samoa and Samoa withdrew before the OFC qualification draw. Tonga withdrew after the 2022 Hunga Tonga–Hunga Ha'apai eruption and tsunami. Due to COVID-19 outbreaks in their squads, Vanuatu and Cook Islands also withdrew because of the travel restrictions.Of the 32 nations qualified to play at the 2022 FIFA World Cup, 24 countries competed at the previous tournament in 2018. Qatar were the only team making their debut in the FIFA World Cup, becoming the first hosts to make their tournament debut since Italy in 1934. As a result, the 2022 tournament was the first World Cup in which none of the teams that earned a spot through qualification were making their debut. The Netherlands, Ecuador, Ghana, Cameroon, and the United States returned to the tournament after missing the 2018 tournament. Canada returned after 36 years, their only prior appearance being in 1986. Wales made their first appearance in 64 years – the longest ever gap for any team, their only previous participation having been in 1958.Italy, four-time winners and reigning European champions, failed to qualify for a second successive World Cup for the first time in their history, losing in the qualification play-off semi-finals. The Italians were the only former champions and the highest ranked team in the FIFA Men's World Rankings that failed to qualify. Italy were also the fourth team to have failed to qualify for the upcoming World Cup after having won the previous UEFA European Championship, following Czechoslovakia in 1978, Denmark in 1994, and Greece in 2006. The previous World Cup hosts, Russia, were disqualified from competing due to the Russian invasion of Ukraine.Chile, the 2015 and 2016 Copa América winners, failed to qualify for the second consecutive time. Nigeria were defeated by Ghana on away goals in Confederation of African Football (CAF) final playoff round, having qualified for the previous three World Cups and six out of the last seven. Egypt, Panama, Colombia, Peru, Iceland, and Sweden, all of whom qualified for the 2018 World Cup, did not qualify for the 2022 tournament. Ghana were the lowest ranked team to qualify, ranked 61st.The qualified teams, listed by region, with numbers in parentheses indicating final positions in the FIFA Men's World Ranking before the tournament were:",494
12,wiki,"The final draw was held at the Doha Exhibition and Convention Center in Doha, Qatar, on 1 April 2022, 19:00 AST, prior to the completion of qualification. The two winners of the inter-confederation play-offs and the winner of the Path A of the UEFA play-offs were not known at the time of the draw. The draw was attended by 2,000 guests and was led by Carli Lloyd, Jermaine Jenas and sports broadcaster Samantha Johnson, assisted by the likes of Cafu (Brazil), Lothar Matthäus (Germany), Adel Ahmed Malalla (Qatar), Ali Daei (Iran), Bora Milutinović (Serbia/Mexico), Jay-Jay Okocha (Nigeria), Rabah Madjer (Algeria), and Tim Cahill (Australia).For the draw, the 32 teams were allocated into four pots based on the FIFA Men's World Rankings of 31 March 2022. Pot 1 contained host Qatar (who were automatically assigned to position A1) and the best seven teams. Pot 2 contained the next best eight teams, with the next best eight teams into pot 3. Pot 4 contained the five lowest-ranked teams, along with the placeholders for the two inter-confederation play-off winners and the UEFA Path A play-off winner. Teams from the same confederation could not be drawn into the same group except for UEFA teams, for which there was at least one and no more than two per group.This principle also applied to the placeholder teams, with constraints applying based on the confederation of both potential winners of each play-off tie. The draw started with pot 1 and ended with pot 4, with each team selected then allocated into the first available group alphabetically. The position for the team within the group would then be drawn (for the purpose of the match schedule), with the pot 1 teams automatically drawn into position 1 of each group. The pots for the draw are shown below.",299
13,wiki,"Before submitting their final squad for the tournament, teams named a provisional squad of up to 55 players. Teams were required to have their 55-player roster submitted to FIFA by 21 October. Teams were required to name their final squads by 13 November. In August 2022, FIFA increased the final squad size to 26 players from a total of 23 players at the 2018 edition. All teams had a total of 26 players in their final squads except for France, who decided not to replace Karim Benzema after he sustained an injury, and Iran, who chose 25 players.",98
14,wiki,"In May 2022, FIFA announced the list of 36 referees, 69 assistant referees, and 24 video assistant referees for the tournament. Of the 36 referees, FIFA included two each from Argentina, Brazil, England, and France.For the first time women referees officiated games at a major men's tournament. France's Stéphanie Frappart, Salima Mukansanga from Rwanda, and Yoshimi Yamashita from Japan became the first female referees to be appointed to a men's World Cup. Frappart previously oversaw the 2019 FIFA Women's World Cup Final. They were joined by three female assistant referees, Neuza Back, Kathryn Nesbitt, and Karen Díaz Medina. Frappart then officially became the first ever female referee to officiate a World Cup match when she worked the Costa Rica vs Germany match in Group E on 1 December.Gambian referee Bakary Gassama and Argentine assistant referee Juan Pablo Belatti were among the officials to serve at their third World Cup. Belatti was an assistant referee in the 2018 final. Other returning officials included referees César Arturo Ramos of Mexico and Janny Sikazwe of Zambia, and Iranian assistant referee Mohammadreza Mansouri.On 15 December 2022, FIFA announced that Polish referee Szymon Marciniak would adjudicate the final.",193
15,wiki,"The opening ceremony took place on Sunday, 20 November 2022 at the Al Bayt Stadium in Al Khor, prior to the opening match of the tournament between hosts Qatar and Ecuador. It included appearances by Morgan Freeman and Ghanim Al-Muftah, along with performances by South Korean singer and BTS member Jungkook and Qatari singer Fahad Al Kubaisi. It was the first time that the Qur'an had been recited as part of the opening ceremony.",74
16,wiki,"The group stage was played from 20 November to 2 December. Competing countries were divided into eight groups of four teams (groups A to H). Teams in each group played one another in a round-robin, where the top two teams advanced to the knockout stage.",45
17,wiki,"The first match of the tournament was held between Qatar and Ecuador in Group A. Ecuador had a disallowed goal in the opening minutes, but eventually won 2–0 with two goals from Enner Valencia. Qatar became the first host nation to lose their opening match at a World Cup. Many Qatar natives were seen leaving the game before the end, with ESPN reporting that two-thirds of the attendance had left. The other starting match in group A was won by the Netherlands 2–0 over Senegal. Cody Gakpo scored the opening goal in the 84th minute and Davy Klaassen added a second in stoppage time. Senegal faced Qatar in the third match of the group; Boulaye Dia capitalised on a slip by Boualem Khoukhi to put Senegal 1–0 ahead. Famara Diédhiou scored a second with a header, before Mohammed Muntari scored Qatar's first-ever goal at a World Cup to reduce the deficit back to one. Senegal eventually won the match 3–1 after an 84th-minute goal by Bamba Dieng. With this result, Qatar became the first team to be eliminated from the tournament, as well as becoming the first host nation to ever be knocked out of the tournament after two games. Gakpo scored his second goal of the tournament as the Netherlands led Ecuador; however, Valencia scored an equaliser in the 49th minute. The Netherlands won 2–0 against Qatar following goals by Gakpo and Frenkie de Jong to win the group, while Qatar attained the distinction of being the first home nation to lose all three group matches. Senegal faced Ecuador to determine the second knockout round qualifier. At the end of the first half, Ismaïla Sarr scored a penalty kick to put Senegal ahead. In the 67th minute, Moisés Caicedo scored an equaliser, but shortly after, Kalidou Koulibaly gave Senegal the victory. The win was enough to qualify Senegal as the runners-up of Group A.",315
18,wiki,"England completed a 6–2 victory over Iran. Iranian keeper Alireza Beiranvand was removed from the game for a suspected concussion before England scored three first-half goals. Mehdi Taremi scored in the second half after which England defender Harry Maguire was also removed for a concussion. Timothy Weah, of the United States, scored a first-half goal against Wales; however, the match finished as a draw after a penalty kick was won and scored by Gareth Bale. Iran defeated Wales 2–0 following a red card to Welsh goalkeeper Wayne Hennessey after he committed a foul outside of his penalty area. Substitute Rouzbeh Cheshmi scored the first goal eight minutes into stoppage time, followed by Ramin Rezaeian scoring three minutes later. England and the United States played to a 0–0 draw, with only four shots on target between them. England won the group following a 3–0 win over Wales with a goal by Phil Foden and two by Rashford. Christian Pulisic scored the winning goal as the United States defeated Iran 1–0 to qualify for the round of 16.",176
19,wiki,"Argentina took an early lead against Saudi Arabia after Lionel Messi scored a penalty kick after ten minutes; however, second-half goals by Saleh Al-Shehri and Salem Al-Dawsari won the match 2–1 for Saudi Arabia, a result described as ""the biggest upset in the history of the World Cup."" The match between Mexico and Poland ended as a goalless 0–0 draw after Guillermo Ochoa saved Robert Lewandowski's penalty kick attempt. Lewandowski scored his first career World Cup goal in a 2–0 win over Saudi Arabia four days later. Argentina defeated Mexico 2–0, with Messi scoring the opener and later assisting teammate Enzo Fernández who scored his first international goal. Argentina won their last game as they played Poland with goals by Alexis Mac Allister and Julián Álvarez which was enough to win the group; Poland qualified for the knockout stage on goal difference.",142
20,wiki,"The match between Denmark and Tunisia ended as a goalless draw; both teams had goals disallowed by offside calls. Danish midfielder Christian Eriksen made his first major international appearance since suffering a cardiac arrest at the UEFA Euro 2020. Defending champions France went a goal behind to Australia, after a Craig Goodwin goal within ten minutes. France, however, scored four goals, by Adrien Rabiot, by Kylian Mbappé, and two by Olivier Giroud to win 4–1. The goals tied Giroud with Thierry Henry as France's all-time top goalscorer. Mitchell Duke scored the only goal as Australia won against Tunisia. This was their first World Cup win since 2010. Mbappé scored a brace as France defeated Denmark 2–1. This was enough for France to qualify for the knockout round – the first time since Brazil in 2006 that the defending champions progressed through the opening round. Mathew Leckie scored the only goal as Australia defeated Denmark 1–0, qualifying for the knockout round as runners-up with the win. Wahbi Khazri scored for Tunisia against France in the 58th minute. Although Antoine Griezmann equalised in stoppage time it was overturned for offside. Tunisia finished third in the group, as they required a draw in the Denmark and Australia game.",205
21,wiki,"Group E began with Japan facing 2014 champions Germany. After an early penalty kick was converted by Germany's İlkay Gündoğan, Japan scored two second-half goals by Ritsu Dōan and Takuma Asano in a 2–1 upset win. In the second group match, Spain defeated Costa Rica 7–0. First-half goals by Dani Olmo, Marco Asensio, and Ferran Torres were followed by goals by Gavi, Carlos Soler, Alvaro Morata, and a second by Torres. This was the largest defeat in a World Cup since Portugal's victory over North Korea in the 2010 event by the same scoreline. Costa Rica defeated Japan 1–0, with Keysher Fuller scoring with Costa Rica's first shot on target of the tournament. Germany and Spain drew 1–1, with Álvaro Morata scoring for Spain and Niclas Füllkrug scoring for Germany. Morata scored the opening goal for Spain against Japan as they controlled the first half of the match. Japan equalised on Ritsu Doan before a second goal by Kaoru Mitoma was heavily investigated by VAR for the ball being out of play. The goal was awarded, and Japan won the group following a 2–1 win. Serge Gnabry scored on ten minutes for Germany against Costa Rica and they led until half-time. Germany required a win, and for Japan to not win their match to qualify. In the second half, goals by Yeltsin Tejeda and Juan Vargas gave Costa Rica a 2–1 lead, which would have qualified them into the knockout stages ahead of Spain. Germany scored three further goals—two by Kai Havertz and a goal by Niclas Fullkrug, ending in a 4–2 win for Germany—which was not enough to qualify them for the final stages. Japan won the group ahead of Spain.",282
22,wiki,"Group F's first match was a goalless draw between Morocco and Croatia. Canada had a penalty kick in the first half of their match against Belgium which was saved by Thibaut Courtois. Belgium won the match by a single goal by Michy Batshuayi. Belgium manager Roberto Martínez confirmed after the game that he believed Canada to have been the better team. Belgium lost 2–0 to Morocco, despite Morocco having a long-range direct free kick goal by Hakim Ziyech overturned for an offside on another player in the lead up to the goal. Two second-half goals from Zakaria Aboukhlal and Romain Saïss helped the Morocco win their first World Cup match since 1998. The match sparked riots in Belgium, with residents fires and fireworks being set off. Alphonso Davies scored Canada's first World Cup goal to give Canada the lead over Croatia. Goals by Marko Livaja, Lovro Majer, and two by Andrej Kramarić for Croatia completed a 4–1 victory. Morocco scored two early goals through Hakim Ziyech and Youssef En-Nesyri in their game against Canada and qualified following a 2–1 victory. Canada's only goal was an own goal by Nayef Aguerd. Croatia and Belgium played a goalless draw which eliminated Belgium, whose team was ranked second in the world, from the tournament.",211
23,wiki,"Breel Embolo scored the only goal in Switzerland's 1–0 defeat of Cameroon. Richarlison scored two goals as Brazil won against Serbia, with star player Neymar receiving an ankle injury. Cameroon's Jean-Charles Castelletto scored the opening goal against Serbia, but they were quickly behind as Serbia scored three goals by Strahinja Pavlović, Sergej Milinković-Savić, and Aleksandar Mitrović either side of half time. Cameroon, however, scored goals through Vincent Aboubakar and Eric Maxim Choupo-Moting, completing a 3–3 draw. An 83rd-minute winner by Casemiro for Brazil over Switzerland was enough for them to qualify for the knockout stage. Having already qualified, Brazil were unable to win their final group game, as they were defeated by Cameroon 1–0 following a goal by Vincent Aboubakar. He was later sent off for removing his shirt in celebrating the goal. Cameroon, however, did not qualify, as Switzerland defeated Serbia 3–2.",143
24,wiki,"Uruguay and South Korea played to a goalless draw. A goalless first half between Portugal and Ghana preceded a penalty converted by Cristiano Ronaldo to give Portugal the lead. In scoring the goal, Ronaldo became the first man to score in five World Cups. Ghana responded with a goal by André Ayew before goals by João Félix, and Rafael Leão by Portugal put them 3–1 ahead. Osman Bukari scored in the 89th minute to trail by a single goal, while Iñaki Williams had a chance to equalise for Ghana ten minutes into stoppage time, but slipped before shooting. The match finished 3–2 to Portugal. Ghanaian Mohammed Salisu opened the scoring against South Korea, with Mohammed Kudus following it up. In the second half, Cho Gue-sung scored a brace for South Korea, levelling the score. Mohammed Kudus scored again in the 68th minute, winning the match 3–2 for Ghana. Portugal defeated Uruguay 2–0 with two goals from Bruno Fernandes, advancing them to the knockout stage. The game's first goal appeared to have been headed in by Ronaldo, but the ball just missed his head. A controversial penalty decision was called late in the game, with a suspected handball from José María Giménez. Portugal led South Korea through Ricardo Horta after 10 minutes. However, goals by Kim Young-gwon and Hwang Hee-chan won the match 2–1 for South Korea. Giorgian de Arrascaeta scored two goals as Uruguay defeated Ghana 2–0. However, with South Korea winning, Uruguay required another goal to progress as they finished third on goals scored. Several Uruguay players left the pitch after the game surrounding the referees and followed them off the pitch.",273
25,wiki,"In the knockout stage, if the scores were equal when normal playing time expired, extra time was played for two periods of 15 minutes each. This was followed, if required, by a penalty shoot-out to determine the winners.",38
26,wiki,,0
27,wiki,"The round of 16 was played from 3 to 7 December, which for the first time ever included teams from all five continents. Group A winners Netherlands scored goals through Memphis Depay, Daley Blind, and Denzel Dumfries as they defeated the United States 3–1, with Haji Wright scoring for the United States. Messi scored his third of the tournament alongside Julián Álvarez to give Argentina a two-goal lead over Australia, and despite an Enzo Fernández own goal from a Craig Goodwin shot, Argentina won 2–1. Olivier Giroud's goal and Mbappé's brace enabled France to have a 3–1 victory over Poland, with Robert Lewandowski scoring the lone goal for Poland from a penalty. England beat Senegal 3–0, with goals coming from Jordan Henderson, Harry Kane, and Bukayo Saka. Daizen Maeda scored for Japan against Croatia in the first half before a leveller from Ivan Perišić in the second. Neither team could find the winner, with Croatia defeating Japan 3–1 in a penalty shoot-out. Vinícius Júnior, Neymar, Richarlison, and Lucas Paquetá all scored for Brazil, but a volley from South Korean Paik Seung-ho reduced the deficit to 4–1. The match between Morocco and Spain finished as a goalless draw after 90 minutes, sending the match to extra time. Neither team could score a goal in extra time; Morocco won the match 3–0 on penalties. A hat-trick by Gonçalo Ramos led Portugal to defeat Switzerland 6–1, with goals from Portugal's Pepe, Raphaël Guerreiro, and Rafael Leão and from Switzerland's Manuel Akanji.",248
28,wiki,"The quarter-finals were played on 9 and 10 December. Croatia and Brazil ended 0–0 after 90 minutes and went to extra time. Neymar scored for Brazil in the 15th minute of extra time. Croatia, however, equalised through Bruno Petković in the second period of extra time. With the match tied, a penalty shootout decided the contest, with Croatia winning the shootout 4–2. In the second quarter-final match, Nahuel Molina and Messi scored for Argentina before Wout Weghorst equalised with two goals shortly before the end of the game. The match went to extra time and then penalties, where Argentina would go on to win 4–3. Morocco defeated Portugal 1–0, with Youssef En-Nesyri scoring at the end of the first half. Morocco became the first African and the first Arab nation to advance as far as the semi-finals of the competition. Despite Harry Kane scoring a penalty for England, it was not enough to beat France, who won 2–1 by virtue of goals from Aurélien Tchouaméni and Olivier Giroud and a late missed penalty by Kane, sending them to their second consecutive World Cup semi-final and becoming the first defending champions to reach this stage since Brazil in 1998.",198
29,wiki,"The semi-finals were played on 13 and 14 December. Messi scored a penalty kick before Julián Álvarez scored twice to give Argentina a 3–0 victory over Croatia, their biggest win margin in the 2022 tournament, reaching their sixth final and first since 2014. Théo Hernandez scored after five minutes as France led Morocco for most of the game. Randal Kolo Muani scored in the 78th minute to complete a 2–0 victory for France over Morocco as they reached their second consecutive final.",82
30,wiki,"The third place play-off was played on 17 December. Joško Gvardiol promptly scored for Croatia, with Achraf Dari equalising just 2 minutes later. Mislav Oršić scored the winner for Croatia as the match finished 2–1. Morocco earned 4th place, a record for the team and the best World Cup finish of any African or Arab nation.",56
31,wiki,"The final was played on 18 December between Argentina and France. Both teams had won the event twice previously. Early goals from Lionel Messi and Ángel Di María gave Argentina, leading 2–0, a head start against the French. Despite multiple substitutions in the first half, France did not record a shot until after the 70th minute but were energised by additional substitutions in the 71st. A few minutes later, France were awarded a penalty as Randal Kolo Muani was brought down in the penalty area by Nicolás Otamendi. Mbappé scored the penalty and added a second goal less than two minutes later to equalise the scores. With the score tied at two goals apiece, the match went to extra time. Messi scored his second goal in the 108th minute, once again giving Argentina the lead. However, Mbappé was awarded a second penalty in the 115th minute after his shot hit the arm of Gonzalo Montiel. Mbappé scored his third goal, becoming the second player ever to complete a hat-trick in the final of a World Cup after Geoff Hurst for England in 1966. With the score tied at 3–3, the match was determined via a penalty shootout. Argentina won the final after scoring all of their penalties, winning 4–2. This marked their third World Cup win and their first since 1986. It also marked the first time that a South American team won the World Cup in 20 years and as Copa América champions.",244
32,wiki,,0
33,wiki,"There were 172 goals scored in 64 matches, for an average of 2.69 goals per match.
8 goals

7 goals

4 goals

3 goals

2 goals

1 goal

1 own goal",31
34,wiki,"A player or team official is automatically suspended for the next match for the following offences:
Receiving a red card (red card suspensions may be extended for serious offences)
Receiving two yellow cards in two matches; yellow cards expire after the completion of the quarter-finals (yellow card suspensions are not carried forward to any other future international matches)The following suspensions were served during the tournament:",65
35,wiki,"The following World Cup awards were given at the conclusion of the tournament: the Golden Boot (top scorer), Golden Ball (best overall player) and Golden Glove (best goalkeeper).
Additionally, FIFA.com shortlisted 10 goals for users to vote on as the tournament's best. The award was won by  Richarlison for his goal in the group stage match against Serbia.",58
36,wiki,,0
37,wiki,"The official emblem was designed by Lisbon-based Brandia Central branding agency and unveiled in September 2019, during simultaneous events at the Doha Tower, Katara Cultural Village amphitheatre, Msheireb Downtown Doha, and Zubarah. It was designed to resemble the tournament trophy, the infinity symbol, and the number ""8"", reflecting upon the ""interconnected"" event and the eight host stadiums. It also evoked imagery of shawls to signify the tournament's late fall scheduling, and contained waves resembling desert dunes. The typography of the emblem's wordmark incorporated kashida—the practice of elongating certain parts of characters in Arabic script to provide typographical emphasis.",98
