prompt,completion
What did al-Ghufran tribe lodge a complaint to FIFA's president about?,They lodged a complaint to FIFA's president to reject the establishment of the World Cup in Qatar unless its government restored the Qatari nationality to all those affected from the tribe and returned land allegedly stolen from them to build the sport facilities.
What did Amnesty International refer to regarding the treatment of foreign workers in Qatar?,"They referred to ""forced labour"" and poor working conditions."
What did The Guardian newspaper report about the migrant workers in Qatar?,"They reported that many workers were denied food and water, had their identity papers taken away from them, and that they were not paid on time or at all, making some of them in effect slaves."
What labour reforms did the Qatari government adopt between 2015 and 2021?,"They adopted new labour reforms to improve working conditions, including a minimum wage for all workers and the removal of the kafala system."
What was the smallest nation by area ever to have been awarded a FIFA World Cup?,Qatar.
What did Qatar struggle to accommodate with its diminutive amount of space?,Accommodating the numbers of arriving fans.
What did World Cup organisers announce the creation of due to Qatar's laws on alcohol consumption?,"Designated ""sobering up"" zones."
What did Nasser Al Khater state was the purpose of the designated sobering-up areas?,To ensure the fans' safety.
"What has been described as a ""cultural clash"" between social conservatism and Islamic morality against the ""norms"" of secular Western liberal democracies?",Qatar's World Cup.
How much did the most expensive World Cup ever held cost?,$220 billion
Who disputed the estimated cost of the World Cup?,Qatari officials
Who is the organising CEO of the World Cup in Qatar?,Nasser Al Khater
What is the true cost of the World Cup according to Qatar officials?,$8 billion
When was the World Cup awarded to Qatar?,2010
What were the terms of reference for the design of the stadiums for the World Cup?,"Legacy, comfort, accessibility, and sustainability."
How did Qatar intend to reduce temperatures within the stadiums?,Cooling systems that aim to reduce temperatures within the stadium by up to 20 °C (36 °F).
How many countries provided security personnel for the World Cup in Qatar?,"About 50,000 security personnel from at least thirteen countries."
How many matches were held at the Lusail Stadium?,10 matches.
What was the name of the seventh FIFA World Cup 2022 venue to be completed by the SC?,"Stadium 974, formerly known as the Ras Abu Aboud Stadium."
How many shipping containers were used in the construction of Stadium 974?,974.
What was the original number of stadiums planned for the World Cup in Qatar?,12.
What was the maximum capacity of the stadiums used for the World Cup in Qatar?,Half.
What was the name of the German architect who designed the five proposed venues for the World Cup?,Albert Speer & Partners.
What was the purpose of the upper tiers of the stadiums?,To be disassembled after the World Cup and donated to countries with less developed sports infrastructure.
What was the first World Cup since 1930 in which players did not need to take flights to matches?,The 2022 World Cup.
How many teams participated in the 2022 World Cup?,32 teams.
How close were the teams to each other during the 2022 World Cup?,Within a 10 km radius of each other.
What did FIFA announce in July 2022?,The hotels and training sites for each participating team.
What was the purpose of the team base camps during the World Cup tournament?,To stay and train before and during the World Cup tournament.
How many FIFA member associations were eligible to enter qualification for the 2022 FIFA World Cup?,211 FIFA member associations
What is the first team to make their tournament debut since Italy in 1934?,Qatar
How long had it been since Wales had previously participated in the FIFA World Cup?,64 years
What team failed to qualify for a second successive World Cup for the first time in their history?,Italy
What is the lowest ranked team to qualify for the 2022 FIFA World Cup?,Ghana (ranked 61st)
Who attended the draw for the 2022 FIFA World Cup?,"Carli Lloyd, Jermaine Jenas, Samantha Johnson, Cafu (Brazil), Lothar Matthäus (Germany), Adel Ahmed Malalla (Qatar), Ali Daei (Iran), Bora Milutinović (Serbia/Mexico), Jay-Jay Okocha (Nigeria), Rabah Madjer (Algeria), and Tim Cahill (Australia)."
How were the teams allocated into four pots for the draw?,Based on the FIFA Men's World Rankings of 31 March 2022.
What was the date and time of the draw?,"1 April 2022, 19:00 AST."
What was the purpose of the draw?,To allocate the 32 teams into eight groups.
How many teams were in each pot?,"Pot 1 contained 8 teams, Pot 2 contained 8 teams, Pot 3 contained 8 teams, and Pot 4 contained 8 teams."
What was the principle applied to the placeholder teams?,Constraints applying based on the confederation of both potential winners of each play-off tie.
Who led the draw?,"Carli Lloyd, Jermaine Jenas and sports broadcaster Samantha Johnson, assisted by the likes of Cafu (Brazil), Lothar Matthäus (Germany), Adel Ahmed Malalla (Qatar), Ali Daei (Iran), Bora Milutinović (Serbia/Mexico), Jay-Jay Okocha (Nigeria), Rabah Madjer (Algeria), and Tim Cahill (Australia)."
What was the name of the venue for the draw?,"Doha Exhibition and Convention Center in Doha, Qatar."
What was the deadline for teams to submit their 55-player roster to FIFA?,21 October
How many players were allowed in the final squad for the 2022 tournament?,26 players
What was the deadline for teams to submit their final squads?,13 November
What was the squad size for the 2018 edition?,23 players
Why did France not replace Karim Benzema after he sustained an injury?,No answer
How many players did Iran choose for their final squad?,25 players
How many referees were appointed by FIFA for the 2022 World Cup?,103
Who was the first female referee to officiate a men's World Cup match?,Stéphanie Frappart
How many female assistant referees were appointed for the 2022 World Cup?,Three
Who was the referee for the 2018 World Cup Final?,César Arturo Ramos
Who was appointed to adjudicate the 2022 World Cup Final?,Szymon Marciniak
Who performed at the opening ceremony of the 2022 FIFA World Cup?,"Morgan Freeman, Ghanim Al-Muftah, Jungkook, and Fahad Al Kubaisi."
What was the opening match of the tournament?,Qatar vs. Ecuador.
Who was the first person to recite the Qur'an as part of the opening ceremony?,Ghanim Al-Muftah.
What stadium hosted the opening ceremony?,Al Bayt Stadium in Al Khor.
What South Korean singer was featured in the opening ceremony?,Jungkook.
How many teams competed in the group stage?,32 teams
How many groups were there in the group stage?,Eight groups
What was the time period for the group stage?,20 November to 2 December
How did teams in each group play one another?,Round-robin
What happened to the top two teams in each group?,Advanced to the knockout stage
Who scored the first goal of the tournament?,Enner Valencia
What was the score of the match between Qatar and Ecuador?,Ecuador won 2–0
Who scored Qatar's first-ever goal at a World Cup?,Mohammed Muntari
Who scored the penalty kick to put Senegal ahead in their match against Ecuador?,Ismaïla Sarr
Who scored the two goals for the Netherlands in their match against Senegal?,Cody Gakpo and Davy Klaassen
What was the result of the match between Senegal and Qatar?,Senegal won 3–1
Who scored the winning goal for Senegal in their match against Ecuador?,Kalidou Koulibaly
Who won Group A?,The Netherlands
Who scored the winning goal for the United States against Iran?,Christian Pulisic
How many goals did England score against Iran?,Six
Who scored the first goal for Iran against Wales?,Rouzbeh Cheshmi
How many shots on target were there in the England vs. United States match?,Four
Who scored the three goals for England against Wales?,Phil Foden and two by Rashford
What was the final score of the Iran vs. Wales match?,Iran 2–0
Who was removed from the game for a suspected concussion before England scored three first-half goals?,Alireza Beiranvand
What was the result of the England vs. United States match?,0–0 draw
Who scored the penalty kick for Argentina in the match against Saudi Arabia?,Lionel Messi
What was the result of the match between Mexico and Poland?,0–0 draw
Who scored the first career World Cup goal for Poland?,Robert Lewandowski
Who scored the opener for Argentina in their match against Mexico?,Lionel Messi
Who scored the two goals for Argentina in their match against Poland?,Alexis Mac Allister and Julián Álvarez
What was the result of the match between Denmark and Tunisia?,The match between Denmark and Tunisia ended as a goalless draw.
Who scored the first goal for France against Australia?,Craig Goodwin scored the first goal for France against Australia.
Who is France's all-time top goalscorer?,Thierry Henry and Olivier Giroud are France's all-time top goalscorers.
Who scored the only goal as Australia won against Tunisia?,Mitchell Duke scored the only goal as Australia won against Tunisia.
Who scored a brace as France defeated Denmark 2–1?,Kylian Mbappé scored a brace as France defeated Denmark 2–1.
Who scored for Tunisia against France in the 58th minute?,Wahbi Khazri scored for Tunisia against France in the 58th minute.
What did Tunisia require in the Denmark and Australia game to qualify for the knockout round?,Tunisia required a draw in the Denmark and Australia game to qualify for the knockout round.
Who scored the opening goal for Spain against Japan?,Álvaro Morata
Who scored the two second-half goals for Japan in their upset win against Germany?,Ritsu Dōan and Takuma Asano
Who scored the two goals for Costa Rica in their match against Germany?,Yeltsin Tejeda and Juan Vargas
What was the scoreline of the match between Spain and Costa Rica?,Spain defeated Costa Rica 7–0
What was the scoreline of the match between Germany and Japan?,Germany and Japan drew 1–1
Who scored the winning goal for Costa Rica against Japan?,Keysher Fuller
Who scored the three further goals for Germany in their match against Costa Rica?,Kai Havertz and Niclas Fullkrug
What was the result of Group F's first match?,Group F's first match was a goalless draw between Morocco and Croatia.
Who saved Canada's penalty kick in their match against Belgium?,Thibaut Courtois saved Canada's penalty kick in their match against Belgium.
Who scored Canada's first World Cup goal?,Alphonso Davies scored Canada's first World Cup goal.
What was the result of the match between Morocco and Belgium?,Morocco won their match against Belgium 2–0.
Who scored the two early goals for Morocco in their match against Canada?,Hakim Ziyech and Youssef En-Nesyri scored the two early goals for Morocco in their match against Canada.
What was the result of the match between Croatia and Belgium?,The match between Croatia and Belgium ended in a goalless draw.
What was the ranking of Belgium's team in the world?,Belgium's team was ranked second in the world.
Who scored the only goal in Switzerland's 1–0 defeat of Cameroon?,Breel Embolo
Who scored two goals for Brazil in their win against Serbia?,Richarlison
Who scored the opening goal for Cameroon against Serbia?,Jean-Charles Castelletto
Who scored the winning goal for Brazil over Switzerland?,Casemiro
Who scored the goal for Cameroon in their 1–0 win over Brazil?,Vincent Aboubakar
Who was sent off for removing his shirt in celebrating the goal for Cameroon?,Vincent Aboubakar
Who scored the first goal in the Portugal vs. Ghana match?,Cristiano Ronaldo
Who scored the winning goal for Ghana against South Korea?,Mohammed Kudus
Who scored the two goals for Uruguay against Ghana?,Giorgian de Arrascaeta
Who scored the two goals for South Korea against Portugal?,Cho Gue-sung
What was the final score of the Portugal vs. Ghana match?,3–2 to Portugal
What was the final score of the South Korea vs. Ghana match?,2–1 for South Korea
What was the final score of the Uruguay vs. Ghana match?,2–0 for Uruguay
What was the controversial penalty decision in the Portugal vs. South Korea match?,A suspected handball from José María Giménez
Who became the first man to score in five World Cups?,Cristiano Ronaldo
What happened when several Uruguay players left the pitch after the game?,They followed the referees off the pitch.
How long was extra time played for in the knockout stage?,Extra time was played for two periods of 15 minutes each.
What was used to determine the winners if the scores were still equal after extra time?,A penalty shoot-out was used to determine the winners.
How many periods of extra time were played in the knockout stage?,Two periods.
What happened if the scores were equal when normal playing time expired?,Extra time was played for two periods of 15 minutes each.
Who scored the lone goal for Poland in their match against France?,Robert Lewandowski
How many goals did Mbappé score in France's match against Poland?,One
Who scored the winning penalty for Croatia in their match against Japan?,Luka Modric
How many goals did Neymar score in Brazil's match against South Korea?,One
Who scored the hat-trick for Portugal in their match against Switzerland?,Gonçalo Ramos
Who scored for Brazil in the 15th minute of extra time in the quarter-finals?,Neymar
Who scored two goals shortly before the end of the second quarter-final match?,Wout Weghorst
Who scored the winning goal for Morocco in the quarter-finals?,Youssef En-Nesyri
Who scored a penalty for England in the quarter-finals?,Harry Kane
Who were the first defending champions to reach the semi-finals since Brazil in 1998?,France
How many goals did Messi score in the semi-finals?,Messi scored one goal in the semi-finals.
Who scored twice to give Argentina a 3–0 victory over Croatia?,Julián Álvarez scored twice to give Argentina a 3–0 victory over Croatia.
How long did it take Théo Hernandez to score in the semi-finals?,Théo Hernandez scored after five minutes.
Who scored in the 78th minute to complete a 2–0 victory for France over Morocco?,Randal Kolo Muani scored in the 78th minute to complete a 2–0 victory for France over Morocco.
How many finals has Argentina reached since 2014?,Argentina has reached one final since 2014.
Who scored the winning goal for Croatia in the third place play-off?,Mislav Oršić
What was the date of the third place play-off?,17 December
What is the best World Cup finish of any African or Arab nation?,4th place
Who scored the equalising goal for Morocco in the third place play-off?,Achraf Dari
How long did it take Morocco to equalise after Croatia scored?,2 minutes
Who won the World Cup final on 18 December?,Argentina
How many goals did Lionel Messi and Ángel Di María score in the first half?,Two
Who was the first player to complete a hat-trick in the final of a World Cup?,Geoff Hurst for England in 1966
How many penalties did Argentina score in the shootout?,Four
How many times had Argentina and France won the event previously?,Both teams had won the event twice previously.
When was the last time a South American team won the World Cup?,20 years ago
How many matches were played in total?,64 matches
What was the average number of goals scored per match?,2.69 goals per match
How many goals were scored in total?,172 goals
How many goals were scored 8 times?,8 goals
How many goals were scored 7 times?,7 goals
How many goals were scored 4 times?,4 goals
How many goals were scored 3 times?,3 goals
How many goals were scored 2 times?,2 goals
How many goals were scored 1 time?,1 goal
How many own goals were scored?,1 own goal
What happens when a player or team official receives a red card?,The player or team official is automatically suspended for the next match. Red card suspensions may be extended for serious offences.
How long do yellow card suspensions last?,Yellow card suspensions expire after the completion of the quarter-finals. Yellow card suspensions are not carried forward to any other future international matches.
What suspensions were served during the tournament?,The suspensions served during the tournament were red card suspensions and yellow card suspensions.
Who won the Golden Boot award at the conclusion of the World Cup?,No answer
Who won the Golden Ball award at the conclusion of the World Cup?,No answer
Who won the Golden Glove award at the conclusion of the World Cup?,No answer
Who won the award for the best goal of the tournament?,Richarlison
What match was the winning goal scored in?,Group stage match against Serbia
Who designed the official emblem for the 2022 FIFA World Cup?,The official emblem was designed by Lisbon-based Brandia Central branding agency.
What does the official emblem for the 2022 FIFA World Cup represent?,"The official emblem for the 2022 FIFA World Cup represents the tournament trophy, the infinity symbol, and the number ""8"", reflecting upon the ""interconnected"" event and the eight host stadiums. It also evokes imagery of shawls to signify the tournament's late fall scheduling, and contains waves resembling desert dunes."
"What is the significance of the number ""8"" in the official emblem for the 2022 FIFA World Cup?","The number ""8"" in the official emblem for the 2022 FIFA World Cup represents the eight host stadiums."
What typographical technique is used in the wordmark of the official emblem for the 2022 FIFA World Cup?,The typography of the emblem's wordmark incorporates kashida—the practice of elongating certain parts of characters in Arabic script to provide typographical emphasis.
Where were the simultaneous events held to unveil the official emblem for the 2022 FIFA World Cup?,"The simultaneous events to unveil the official emblem for the 2022 FIFA World Cup were held at the Doha Tower, Katara Cultural Village amphitheatre, Msheireb Downtown Doha, and Zubarah."
What is the release date of the 2022 FIFA World Cup DLC for FIFA 23?,9 November 2022
What is the name of the mobile mini-game released by Google?,Mini Cup
What did the Panini Group produce for the 14th consecutive World Cup?,Themed stickers and a sticker album
What is the name of the over-the-top media service and app released by FIFA?,FIFA+
What was the global audience for the 2018 FIFA World Cup?,3.57 billion
What was the response from viewers to the media's approach to covering the 2022 FIFA World Cup?,"Polarizing response; some criticized the lack of focus on controversies, while others praised the sports-focused approach."
What did FIFA do in February 2015 to compensate for the rescheduling of the 2022 World Cup?,"Extended its media rights contracts in Canada and the United States with Bell Media (Canada), Fox (U.S. English), and NBCUniversal (U.S. Spanish) to last through 2026, without taking any competing offers."
What was the highest-rated associated football broadcast in U.S. history?,A 2014 World Cup match that drew 24.7 million.
What is the name of the official mascot of the tournament?,Laʼeeb
When was the official mascot unveiled?,1 April 2022
What does the name Laʼeeb mean in Arabic?,Super-skilled player
What is the official backstory of the mascot?,"The official backstory of the mascot, published on the official website of FIFA, claims that it comes from a parallel world where tournament mascots live, ""a world where ideas and creativity form the basis of characters that live in the minds of everyone""."
What comparisons have been made to La'eeb's appearance?,"Comparisons have been made to Casper the Friendly Ghost or the Stay-Puft Marshmallow Man, or even the ghost of the construction workers who died building the stadiums and infrastructure."
"What does the word ""Al Rihla"" mean in Arabic?","Al Rihla (الْرِّحْلَة ar-riḥla) means ""the journey""."
What is the name of the match ball for the 2022 FIFA World Cup Final?,"The name of the match ball for the 2022 FIFA World Cup Final is the Adidas Al Hilm (Arabic: الحلم, romanized: al-ḥulm, lit. 'the dream')."
What are the colors of the Adidas Al Hilm ball?,"The colors of the Adidas Al Hilm ball are Gold Metallic, maroon, Collegiate Burgundy, and red."
What is the purpose of the internal electronic sensors in the Al Rihla ball?,"The purpose of the internal electronic sensors in the Al Rihla ball is to detect its speed and position, updated 500 times per second."
What is the significance of the SpaceX falcon 9 suborbital mission for the 2022 FIFA World Cup?,The SpaceX falcon 9 suborbital mission for the 2022 FIFA World Cup was used to promote the world cup.
What is the fifth special ball for FIFA World Cup final matches?,The fifth special ball for FIFA World Cup final matches is the Telstar Mechta (2018).
What is the title of the first song released from the FIFA World Cup official soundtrack?,"""Hayya Hayya (Better Together)"""
Who is the artist of the second song released from the FIFA World Cup official soundtrack?,Gims and Ozuna
What is the title of the fifth song released from the FIFA World Cup official soundtrack?,"""Tukoh Taka"""
Who is the artist of the final song released from the FIFA World Cup official soundtrack?,Jungkook of BTS
When was the fourth song released from the FIFA World Cup official soundtrack?,7 October 2022
What company is teaming up with American rapper Lil Baby for the third song released from the FIFA World Cup official soundtrack?,Budweiser
What human rights issues were raised in relation to Qatar hosting the 2022 FIFA World Cup?,"Treatment of migrant workers, women, and position on LGBT rights."
What did The Economist say about the criticism of Qatar's human rights record?,"That Western criticism failed to ""distinguish between truly repugnant regimes and merely flawed ones"", and that many ""indignant pundits"" simply sounded as if they did ""not like Muslims or rich people""."
What did Qatar initially say about the display of pride flags at tournament venues?,"That they would not prohibit the display of pride flags at tournament venues, in accordance with FIFA's inclusivity policies, although the country still advised LGBT attendees to comply with the country's modesty and avoid public displays of affection."
What did Sepp Blatter say about awarding the World Cup to Qatar?,"That giving Qatar hosting rights was a ""mistake""."
What did the Sunday Times and the Bureau of Investigative Journalism report about Qatar's hosting of the World Cup?,"That a ""hack-for-hire"" group from Indian hacking company ""WhiteInt"" based in Gurgaon had compromised the email accounts and other private communications channels of various politicians, reporters, and other prominent individuals that had been critical of Qatar's hosting of the World Cup."
What criticisms were made of Qatar's hosting of the World Cup?,Criticisms were made of perceived human rights violations related to the organisation and hosting of the World Cup in Qatar.
What were the long-standing concerns about human rights in Qatar?,The long-standing concerns about human rights in Qatar included indentured servitude and working conditions leading to deaths.
What were the main issues with the migrant workers brought in to build the infrastructure for the World Cup?,The main issues with the migrant workers brought in to build the infrastructure for the World Cup were indentured servitude and working conditions leading to deaths.
How has Qatar been accused of using the World Cup to improve its image?,Qatar has been accused of sportswashing in hosting the World Cup to improve its image.
What were the consequences of the working conditions for the migrant workers?,The consequences of the working conditions for the migrant workers were deaths.
What concerns were expressed about holding the World Cup in Qatar?,Concerns were expressed over the climate in Qatar and the traditional time frame of June and July.
What dates did the FIFA Task Force propose for the 2022 World Cup?,The FIFA Task Force proposed that the tournament be played from late November to late December 2022.
What was the reaction of Football Federation Australia to the proposed November tournament?,"Football Federation Australia said that if the 2022 World Cup were moved to November and thus upset the schedule of the A-League, they would seek compensation from FIFA."
"What did Richard Scudamore, chief executive of the Premier League, say about a potential move to November?","Richard Scudamore, chief executive of the Premier League, stated that they would consider legal action against FIFA because a move would interfere with the Premier League's popular Christmas and New Year fixture programme."
What date was the 2022 World Cup final confirmed to be played on?,The 2022 World Cup final was confirmed to be played on 18 December.
What criticism was made of the allegations of Euro-centrism?,"Critics condemned the Euro-centrism of these allegations, and questioned why global sporting events must be held within the traditional European summer season."
What allegations were made against Qatar in relation to the World Cup?,"Allegations were made that former top football official Mohammed bin Hammam paid several African officials $1.5 million, that disgraced former CONCACAF president Jack Warner and his family were paid almost $2 million from a firm linked to Qatar's successful campaign, and that bribery and corruption were involved in Qatar's bid for the World Cup."
What did the Sunday Times publish regarding Qatar's bid for the World Cup?,The Sunday Times published bribery allegations based on a leak of millions of secret documents.
"What did Jim Boyce, vice-president of FIFA, state regarding Qatar's bid for the World Cup?","Jim Boyce, vice-president of FIFA, stated he would support a re-vote to find a new host if the corruption allegations are proven."
What did Swiss officials do in 2015 in relation to the FIFA corruption case?,"Swiss officials, operating under information from the United States Department of Justice, arrested many senior FIFA officials in Zürich, Switzerland and seized physical and electronic records from FIFA's main headquarters."
What did Phaedra Almajid claim would result from the allegations against Qatar?,Phaedra Almajid claimed that the allegations would result in Qatar not hosting the World Cup.
"What did Domenico Scala, the head of FIFA's Audit and Compliance Committee, state regarding Qatar's bid for the World Cup?","Domenico Scala, the head of FIFA's Audit and Compliance Committee, stated that ""should there be evidence that the awards to Qatar and Russia came only because of bought votes, then the awards could be cancelled."""
What countries cut diplomatic ties with Qatar in June 2017?,"Saudi Arabia, Egypt, Bahrain, the United Arab Emirates and Yemen cut diplomatic ties with Qatar in June 2017."
"What did Saudi Arabia, Yemen, Mauritania, the United Arab Emirates, Bahrain, and Egypt call for in a letter to FIFA?","In a letter to FIFA, Saudi Arabia, Yemen, Mauritania, the United Arab Emirates, Bahrain, and Egypt called for Qatar to be replaced as World Cup host."
What did Lieutenant General Dhahi Khalfan Tamim imply in his tweet about the Qatar crisis?,Lieutenant General Dhahi Khalfan Tamim implied in his tweet that the Saudi-led blockade of Qatar was only enacted due to Qatar hosting the world's biggest football event.
What did UAE Minister of State for Foreign Affairs Anwar Gargash say in response to media coverage of Dhahi Khalfan's tweet?,"UAE Minister of State for Foreign Affairs Anwar Gargash said that Qatar's hosting of the World Cup ""should include a repudiation of policies supporting extremism & terrorism""."
What was the decision of the World Anti-Doping Agency (WADA) regarding Russia in December 2019?,The World Anti-Doping Agency (WADA) handed Russia a four-year ban from all major sporting events.
What did the three teams in Russia's qualifying path announce on 24 February 2022?,The three teams in Russia's qualifying path announced their unwillingness to play any matches in Russian territory.
What sanctions did FIFA impose on Russia on 27 February 2022?,"FIFA imposed a number of sanctions on Russia, including prohibiting it from hosting international competitions and ordering the national team to play all home matches behind closed doors in neutral countries."
How would the Russian team be allowed to compete in international competitions under the sanctions?,"The Russian team would be allowed to compete in international competitions under the abbreviation of their national federation, the Russian Football Union (""RFU""), rather than ""Russia""."
What was the decision of FIFA on 28 February 2022 regarding Russia's participation in the 2022 FIFA World Cup?,"FIFA decided to suspend Russia from international competitions ""until further notice"", including its participation in the 2022 FIFA World Cup."
What are the LGBT rights like in Qatar?,LGBT rights in Qatar are criminalized.
What was the main controversy surrounding Qatar hosting the 2022 FIFA World Cup?,The main controversy surrounding Qatar hosting the 2022 FIFA World Cup was a last-minute FIFA decision to hand out player punishments to European captains who had months earlier announced their intention to continue wearing rainbow-colored armbands.
What did FIFA decide to do to European captains who had announced their intention to wear rainbow-colored armbands?,FIFA reportedly told the teams that they would receive a yellow card as a minimum.
What items were security officials at stadiums reportedly confiscating?,"Security officials at stadiums were reportedly confiscating items of rainbow clothing, flags featuring rainbows, whether Pride-related or not."
What did American journalist Grant Wahl do that resulted in him being briefly detained?,American journalist Grant Wahl was briefly detained for wearing a t-shirt with a rainbow on it.
What have officials stated about people visiting Qatar for the 2022 FIFA World Cup?,Officials have stated that all people are welcome as long as they follow the public display of affection laws which apply to all people.
What freedoms do women in Qatar have?,Women in Qatar have few freedoms.
What was the case of the female Mexican World Cup employee?,The case of the female Mexican World Cup employee was facing punishment for extramarital sex after reporting being sexually assaulted to Qatari authorities.
What have eyewitnesses attested to regarding the safety of women in Qatar?,Eyewitnesses have attested to the safety of women in Qatar.
What were the reports in November 2022 suggesting?,"The reports in November 2022 suggested that the government of Iran were working with Qatari officials to suppress anti-government protests at the 2022 FIFA World Cup, in light of the Mahsa Amini protests."
What did the leaked documents and audio clips suggest?,The leaked documents and audio clips suggested that Iranian government officials were in correspondence with Qatari authorities in order to handle possible protesters.
What did the Qatari government do in November 2022?,"The Qatari government revoked the visas of journalists from a London-based Iranian news channel, Iran International, known for being critical of the regime, who were seeking to cover the World Cup."
What items were reportedly blocked by the stadium's security forces during the first group stage match between Iran and England?,"Items reportedly blocked by the stadium's security forces during the first group stage match between Iran and England included t-shirts and signs with ""Woman, Life, Freedom"" embedded onto them, Iran's previous flags, or any slogans containing the name of Mahsa Amini."
What did officials reportedly try to suppress during Iran's matches at the World Cup?,Officials reportedly tried to suppress any filming or photography of possible protests during Iran's matches at the World Cup.
What happened to Danish TV presenter Rasmus Tantholdt?,"Danish TV presenter Rasmus Tantholdt was detained by Qatari police for filming fans with ""Woman, Life, Freedom"" slogans, some of whom who had been earlier abused by a group of pro-government supporters."
What was the original agreement regarding alcohol consumption in Qatar for the 2022 World Cup?,"The original agreement was that alcohol would be permitted to be consumed around the stadiums, and Budweiser, FIFA's largest sponsor, would be permitted to sell their beer in designated areas in the stadium."
What was the reaction of AB InBev when Qatari officials informed them that the beer tents were to be moved to less prominent areas?,No answer.
What did FIFA's statement say about the sale of beer at the stadiums?,FIFA's statement said that sale points of beer would be removed from stadium perimeters in contradiction to both the Qatari bid and the earlier commitment when the sales were moved outside of the stadiums.
What did FIFA require of recent World Cup hosts?,FIFA required recent World Cup hosts to change their laws to allow alcohol consumption at matches in line with sponsorship commitments.
Where was alcohol still permitted during the tournament?,Alcohol was still permitted inside the fan villages and inside the stadiums in the corporate hospitality boxes.
What did FIFA President Gianni Infantino say about the Qatari ban on the sale of beer at the stadiums?,"FIFA President Gianni Infantino proclaimed in his press conference: ""I think personally, if for three hours a day you cannot drink a beer, you will survive."""
What did Qatar promise to provide Jewish tourists with before the 2022 World Cup?,Qatar promised to provide Jewish tourists with cooked kosher food and public Jewish prayer services at the 2022 World Cup.
What did Qatar claim was the reason for banning the previously promised services?,Qatar claimed it could not secure the safety of Jews.
How many religious Jews were estimated to have arrived to watch the World Cup in Qatar?,"It was estimated that 10,000 religious Jews from Israel and around the world arrived to watch the World Cup in Qatar."
What did the Israeli government say about the efforts made by Qatar to meet its requests?,"The Israeli government said it was happy with the efforts made by Qatar to meet its requests, including kosher food, direct flights from Israel to Qatar, and temporary diplomatic representation in the country."
